"iata","lon","lat","iso","name","continent","type","size","timezone","icao","city","country"
"AFZ","169.86667","11.233333","MH","Sabzevar National Airport","OC","airport","small","3.5","OIMS","Sabzevar","Iran"
"BJB","169.86667","11.233333","MH","Bojnourd Airport","OC","airport","small","3.5","OIMN","Bojnourd","Iran"
"RJN","169.86667","11.233333","MH","Rafsanjan Airport","OC","airport","small","3.5","OIKR","Rafsanjan","Iran"
"BXR","169.86667","11.233333","MH","Bam Airport","OC","airport","small","3.5","OIKM","Bam","Iran"
"KHD","169.86667","11.233333","MH","Khoram Abad Airport","OC","airport","small","3.5","OICK","Khorram Abad","Iran"
"EWD","169.86667","11.233333","MH","Wadi Al Dawasir Airport","OC","airport","small","3","OEWD","Wadi-al-dawasir","Saudi Arabia"
"AJF","169.86667","11.233333","MH","Al-Jawf Domestic Airport","OC","airport","small","3","OESK","Al-Jawf","Saudi Arabia"
"DWD","169.86667","11.233333","MH","Dawadmi Domestic Airport","OC","airport","small","3","OEDW","Dawadmi","Saudi Arabia"
"XAU","169.86667","11.233333","MH","Saul Airport","OC","airport","small","-3","SOOS","Saul","French Guiana"
"FBD","169.86667","11.233333","MH","Faizabad Airport","OC","airport","small","4.5","OAFZ","Faizabad","Afghanistan"
"ILP","169.86667","11.233333","MH","Île des Pins Airport","OC","airport","small","11","NWWE","Île des Pins","New Caledonia"
"BMY","169.86667","11.233333","MH","Belep Islands Airport","OC","airport","small","11","NWWC","Waala","New Caledonia"
"TGJ","169.86667","11.233333","MH","Tiga Airport","OC","airport","small","11","NWWA","Tiga","New Caledonia"
"IPA","169.86667","11.233333","MH","Ipota Airport","OC","airport","small","11","NVVI","Ipota","Vanuatu"
"FTA","169.86667","11.233333","MH","Futuna Airport","OC","airport","small","11","NVVF","Futuna Island","Vanuatu"
"DLY","169.86667","11.233333","MH","Dillon's Bay Airport","OC","airport","small","11","NVVD","Dillon's Bay","Vanuatu"
"AWD","169.86667","11.233333","MH","Aniwa Airport","OC","airport","small","11","NVVB","Aniwa","Vanuatu"
"AUY","169.86667","11.233333","MH","Anelghowhat Airport","OC","airport","small","11","NVVA","Anelghowhat","Vanuatu"
"OLZ","169.86667","11.233333","MH","North West Santo Airport","OC","airport","small","11","NVSZ","Olpoi","Vanuatu"
"SWJ","169.86667","11.233333","MH","Southwest Bay Airport","OC","airport","small","11","NVSX","Malekula Island","Vanuatu"
"VLS","169.86667","11.233333","MH","Valesdir Airport","OC","airport","small","11","NVSV","Valesdir","Vanuatu"
"ULB","169.86667","11.233333","MH","Uléi Airport","OC","airport","small","11","NVSU","Ambryn Island","Vanuatu"
"TGH","169.86667","11.233333","MH","Tongoa Island Airport","OC","airport","small","11","NVST","Tongoa Island","Vanuatu"
"SON","169.86667","11.233333","MH","Santo Pekoa International Airport","OC","airport","small","11","NVSS","Santo","Vanuatu"
"RCL","169.86667","11.233333","MH","Redcliffe Airport","OC","airport","small","11","NVSR","Redcliffe","Vanuatu"
"ZGU","169.86667","11.233333","MH","Gaua Island Airport","OC","airport","small","11","NVSQ","Gaua Island","Vanuatu"
"NUS","169.86667","11.233333","MH","Norsup Airport","OC","airport","small","11","NVSP","Norsup","Vanuatu"
"LNE","169.86667","11.233333","MH","Lonorore Airport","OC","airport","small","11","NVSO","Lonorore","Vanuatu"
"MWF","169.86667","11.233333","MH","Naone Airport","OC","airport","small","11","NVSN","Maewo Island","Vanuatu"
"LNB","169.86667","11.233333","MH","Lamen Bay Airport","OC","airport","small","11","NVSM","Lamen Bay","Vanuatu"
"LPM","169.86667","11.233333","MH","Lamap Airport","OC","airport","small","11","NVSL","Lamap","Vanuatu"
"PBJ","169.86667","11.233333","MH","Tavie Airport","OC","airport","small","11","NVSI","Paama Island","Vanuatu"
"SSR","169.86667","11.233333","MH","Sara Airport","OC","airport","small","11","NVSH","Pentecost Island","Vanuatu"
"LOD","169.86667","11.233333","MH","Longana Airport","OC","airport","small","11","NVSG","Longana","Vanuatu"
"CCV","169.86667","11.233333","MH","Craig Cove Airport","OC","airport","small","11","NVSF","Craig Cove","Vanuatu"
"EAE","169.86667","11.233333","MH","Sangafa Airport","OC","airport","small","11","NVSE","Sangafa","Vanuatu"
"TOH","169.86667","11.233333","MH","Torres Airstrip","OC","airport","small","11","NVSD","Loh/Linua","Vanuatu"
"SLH","169.86667","11.233333","MH","Sola Airport","OC","airport","small","11","NVSC","Sola","Vanuatu"
"MTV","169.86667","11.233333","MH","Mota Lava Airport","OC","airport","small","11","NVSA","Ablow","Vanuatu"
"UAH","169.86667","11.233333","MH","Ua Huka Airport","OC","airport","small","-9.5","NTMU","Ua Huka","French Polynesia"
"UAP","169.86667","11.233333","MH","Ua Pou Airport","OC","airport","small","-9.5","NTMP","Ua Pou","French Polynesia"
"AUQ","169.86667","11.233333","MH","Hiva Oa-Atuona Airport","OC","airport","small","-9.5","NTMN","Hiva-oa","French Polynesia"
"AHE","169.86667","11.233333","MH","Ahe Airport","OC","airport","small","-10","NTHE","Ahe","French Polynesia"
"APK","169.86667","11.233333","MH","Apataki Airport","OC","airport","small","-10","NTGD","Apataki","French Polynesia"
"MXS","169.86667","11.233333","MH","Maota Airport","OC","airport","small","-11","NSMA","Savaii Island","Samoa"
"MWP","169.86667","11.233333","MH","Mountain Airport","OC","airport","small","5.75","","Mountain","Nepal"
"FUT","169.86667","11.233333","MH","Pointe Vele Airport","OC","airport","small","12","NLWF","Futuna Island","Wallis and Futuna"
"IUE","169.86667","11.233333","MH","Niue International Airport","OC","airport","small","-11","NIUE","Alofi","Niue"
"VBV","169.86667","11.233333","MH","Vanua Balavu Airport","OC","airport","small","12","NFVB","Vanua Balavu","Fiji"
"NTT","169.86667","11.233333","MH","Kuini Lavenia Airport","OC","airport","small","13","NFTP","Niuatoputapu","Tonga"
"NFO","169.86667","11.233333","MH","Mata'aho Airport","OC","airport","small","13","NFTO","Angaha, Niuafo'ou Island","Tonga"
"HPA","169.86667","11.233333","MH","Lifuka Island Airport","OC","airport","small","13","NFTL","Lifuka","Tonga"
"EUA","169.86667","11.233333","MH","Kaufana Airport","OC","airport","small","13","NFTE","Eua Island","Tonga"
"SVU","169.86667","11.233333","MH","Savusavu Airport","OC","airport","small","12","NFNS","Savusavu","Fiji"
"RTA","169.86667","11.233333","MH","Rotuma Airport","OC","airport","small","12","NFNR","Rotuma","Fiji"
"KXF","169.86667","11.233333","MH","Koro Island Airport","OC","airport","small","12","NFNO","Koro Island","Fiji"
"TVU","169.86667","11.233333","MH","Matei Airport","OC","airport","small","12","NFNM","Matei","Fiji"
"LBS","169.86667","11.233333","MH","Labasa Airport","OC","airport","small","12","NFNL","Lambasa","Fiji"
